Brewery,Beer Name,Beer Style,Beer ABV,Beer IBU,Beer Rating,Beer Total Ratings,Beer Added Date
Armored Cow Brewing Co.,Bang-Bang IPA,IPA - New England,7.3,40.0,4.02,714,2020-05-04
Armored Cow Brewing Co.,Hell Yeah!,Gluten-Free,6.5,27.5,3.66,392,2019-05-22
Armored Cow Brewing Co.,Bitchin Betty,Brown Ale - Other,5.4,19.0,3.68,350,2019-05-24
Armored Cow Brewing Co.,Sleepless In Seattle,Stout - Imperial / Double,12.0,50.0,4.11,359,2020-01-07
Armored Cow Brewing Co.,Strawberry 6&20,Blonde Ale,4.5,20.976190476190474,3.67,345,2019-05-17
Armored Cow Brewing Co.,Reveille Stout,Stout - Oatmeal,5.6,30.846153846153847,3.77,279,2019-08-03
Armored Cow Brewing Co.,Shake That Axe,Lager - American Light,4.8,15.6875,3.65,240,2019-09-27
Armored Cow Brewing Co.,Cherry Bomb,Sour - Berliner Weisse,4.5,9.0,3.72,244,2019-06-08
Armored Cow Brewing Co.,Fun51weizen,Hefeweizen,5.2,16.41176470588235,3.72,240,2019-06-01
Armored Cow Brewing Co.,The 49er,Kölsch,4.8,23.22222222222222,3.57,219,2019-05-17
Armored Cow Brewing Co.,Cinnamon Girl,Blonde Ale,5.6,20.976190476190474,3.72,237,2019-11-07
Armored Cow Brewing Co.,U Put the Lime In the Coconut,Sour - Berliner Weisse,4.5,9.0,3.83,206,2020-01-31
Armored Cow Brewing Co.,Not Your Momma’s Kitchen,Blonde Ale,4.8,20.976190476190474,3.63,202,2019-05-17
Armored Cow Brewing Co.,Bliztkrieg Hop,IPA - Imperial / Double New England,9.1,37.18181818181818,3.95,209,2020-07-15
Armored Cow Brewing Co.,Five Jump Chump,Sour - Gose,5.0,12.666666666666666,3.69,161,2020-01-05
Armored Cow Brewing Co.,The Outlander,Spiced / Herbed Beer,6.0,27.625,3.77,156,2019-09-11
Armored Cow Brewing Co.,Are You Ready Kids?,Sour - Fruited,9.0,13.380952380952381,3.84,143,2020-10-22
Armored Cow Brewing Co.,The All American,Red Ale - American Amber / Red,5.4,21.0,3.48,139,2019-06-01
Armored Cow Brewing Co.,Ludwig,Festbier,6.0,20.0,3.83,126,2020-09-13
Armored Cow Brewing Co.,Bocks of Rain,Bock - Doppelbock,10.0,24.545454545454547,4.03,130,2020-05-14
Armored Cow Brewing Co.,Revelator,Bock - Doppelbock,9.0,24.545454545454547,3.78,126,2019-10-09
Armored Cow Brewing Co.,Steinhoist,Lager - Munich Dunkel,4.9,23.25,3.75,126,2019-09-11
Armored Cow Brewing Co.,Hot Donna,Red Ale - American Amber / Red,5.5,26.61111111111111,3.7,120,2020-09-14
Armored Cow Brewing Co.,Doctor Love,Sour - Fruited,7.0,13.380952380952381,4.05,112,2021-02-04
Armored Cow Brewing Co.,Day Dreaming,IPA - American,6.4,50.0,3.78,114,2020-04-11
Armored Cow Brewing Co.,Bring Back Jack,Gluten-Free,4.3,27.5,3.71,101,2019-09-11
Armored Cow Brewing Co.,The Yada Yada,Pale Ale - New England,5.5,28.0,3.75,100,2020-11-03
Armored Cow Brewing Co.,Court Shoes Only,IPA - Imperial / Double,9.2,80.58904109589041,3.96,90,2021-02-05
Armored Cow Brewing Co.,Fallback Crutch,IPA - American,7.2,57.286384976525824,3.81,90,2020-11-12
Armored Cow Brewing Co.,Not Your Momma's Kitchen (Gluten Free),Gluten-Free,4.3,45.0,3.51,78,2019-05-17
Armored Cow Brewing Co.,First One of the Day,Pilsner - German,5.0,30.22222222222222,3.75,76,2020-05-08
Armored Cow Brewing Co.,Miss Rosie,Gluten-Free,4.3,27.5,3.53,58,2019-09-11
Armored Cow Brewing Co.,A Whole Lotta Rosie,Gluten-Free,4.8,27.5,4.0,50,2020-03-15
Armored Cow Brewing Co.,Made In the Shade,Lager - American Light,4.5,15.6875,3.62,50,2019-07-26
Armored Cow Brewing Co.,Made In the Lime Shade,Lager - American Light,5.1,15.6875,3.76,36,2019-11-19
Armored Cow Brewing Co.,The GF Outlander,Gluten-Free,6.0,10.0,3.84,32,2020-09-24
Armored Cow Brewing Co.,Sun Spun Lager,Lager - American Light,4.8,6.0,3.77,34,2021-02-13
Armored Cow Brewing Co.,GF Cinnamon Girl,Blonde Ale,4.8,20.976190476190474,3.85,32,2020-12-18
Armored Cow Brewing Co.,Black Is Beautiful,Stout - Other,8.5,34.55,3.76,27,2020-09-02
Birdsong Brewing Co.,Jalapeño Pale Ale,Spiced / Herbed Beer,5.5,45.0,3.67,22685,2011-12-17
Birdsong Brewing Co.,Higher Ground IPA,IPA - American,7.0,65.0,3.74,18705,2012-02-09
Birdsong Brewing Co.,Lazy Bird Brown Ale,Brown Ale - American,5.5,45.0,3.63,10883,2012-01-12
Birdsong Brewing Co.,Mexicali Stout,Stout - Other,5.8,35.0,3.83,9374,2012-11-15
Birdsong Brewing Co.,Paradise City Session IPA,IPA - Session / India Session Ale,4.8,45.0,3.63,7005,2017-01-27
Birdsong Brewing Co.,Honey Pie Double IPA,IPA - Imperial / Double,8.9,80.0,3.92,5664,2013-03-01
Birdsong Brewing Co.,Fake Plastic Trees Hazy IPA,IPA - New England,6.4,40.0,3.68,6911,2013-05-30
Birdsong Brewing Co.,Wake Up Coffee Vanilla Porter,Porter - American,5.8,29.0,3.89,5947,2014-09-13
Birdsong Brewing Co.,Doin' Thyme Witbier,Wheat Beer - Witbier,4.3,15.0,3.57,4383,2012-06-29
Birdsong Brewing Co.,Free Will Pale Ale,Pale Ale - American,5.5,42.0,3.51,4264,2011-12-11
Birdsong Brewing Co.,Rewind,Pilsner - Czech,4.0,22.0,3.57,3575,2018-06-01
Birdsong Brewing Co.,Hazy Sexy Cool New England Style IPA,IPA - New England,6.8,66.0,3.79,3344,2018-03-08
Birdsong Brewing Co.,Pink Robots Blackberry/Raspberry Kettle Sour,Sour - Other,4.3,15.0,3.75,2714,2016-05-06
Birdsong Brewing Co.,Sunshine Gose,Sour - Fruited Gose,4.7,10.0,3.78,2576,2018-04-16
Birdsong Brewing Co.,Say It To My Face,IPA - Red,7.8,70.0,3.8,2449,2013-04-05
Birdsong Brewing Co.,Turtles On Pterodactyls,Stout - Other,8.0,35.0,3.97,2200,2014-11-14
Birdsong Brewing Co.,Up On The Sun Saison,Farmhouse Ale - Saison,7.5,35.0,3.65,1972,2012-04-07
Birdsong Brewing Co.,Eat A Peach Pale Ale,Pale Ale - American,4.9,35.0,3.48,1593,2012-06-15
Birdsong Brewing Co.,Bourbon Barrel Aged St. Tuber,Belgian Dubbel,9.0,25.0,3.86,1442,2013-11-22
Birdsong Brewing Co.,Rich Girl,Porter - Imperial / Double,8.5,15.0,3.77,1378,2018-12-04
Birdsong Brewing Co.,All Knight Long Blonde Ale,Belgian Blonde,4.5,15.0,3.53,1234,2017-04-06
Birdsong Brewing Co.,Bookends Guava Sour,Sour - Fruited,5.2,10.0,3.92,1285,2019-05-23
Birdsong Brewing Co.,The Pride,Belgian Dubbel,9.5,35.0,3.68,1134,2012-12-13
Birdsong Brewing Co.,Rice Rice Baby,Stout - Milk / Sweet,5.8,33.0,3.84,1026,2012-09-29
Birdsong Brewing Co.,Movin' On Up Hazy Pale Ale,Pale Ale - New England,5.8,40.0,3.72,1132,2019-09-04
Birdsong Brewing Co.,Prehistoric Dog,Stout - Russian Imperial,10.5,50.0,4.07,996,2015-12-18
Birdsong Brewing Co.,Rare Form,Stout - White,6.3,20.0,3.64,1025,2019-08-01
Birdsong Brewing Co.,Fistful of Steel Black IPA,IPA - Black / Cascadian Dark Ale,6.9,69.0,3.82,952,2015-07-03
Birdsong Brewing Co.,Dressed To Chill,Wheat Beer - Witbier,5.0,15.0,3.63,913,2020-01-06
Birdsong Brewing Co.,Black Bird Lemon & Tea Sour,Sour - Other,5.1,10.0,3.93,909,2018-10-25
Birdsong Brewing Co.,Gravity Rides,IPA - Imperial / Double,8.7,80.58904109589041,3.88,909,2019-04-12
Birdsong Brewing Co.,Game Winner IPA,IPA - American,6.8,54.0,3.74,909,2019-07-25
