Brewery,Beer Name,Beer Style,Beer ABV,Beer IBU,Beer Rating,Beer Total Ratings,Beer Added Date
Armored Cow Brewing Co.,Bang-Bang IPA,IPA - New England,"
7.3% ABV ","
40 IBU ",(4.02),"
714 Ratings ","
Added 05/04/20 "
Armored Cow Brewing Co.,Hell Yeah!,Gluten-Free,"
6.5% ABV ","
N/A IBU ",(3.66),"
392 Ratings ","
Added 05/22/19 "
Armored Cow Brewing Co.,Bitchin Betty,Brown Ale - Other,"
5.4% ABV ","
N/A IBU ",(3.68),"
350 Ratings ","
Added 05/24/19 "
Armored Cow Brewing Co.,Sleepless In Seattle,Stout - Imperial / Double,"
12% ABV ","
50 IBU ",(4.11),"
359 Ratings ","
Added 01/07/20 "
Armored Cow Brewing Co.,Strawberry 6&20,Blonde Ale,"
4.5% ABV ","
N/A IBU ",(3.67),"
345 Ratings ","
Added 05/17/19 "
Armored Cow Brewing Co.,Reveille Stout,Stout - Oatmeal,"
5.6% ABV ","
N/A IBU ",(3.77),"
279 Ratings ","
Added 08/03/19 "
Armored Cow Brewing Co.,Shake That Axe,Lager - American Light,"
4.8% ABV ","
N/A IBU ",(3.65),"
240 Ratings ","
Added 09/27/19 "
Armored Cow Brewing Co.,Cherry Bomb,Sour - Berliner Weisse,"
4.5% ABV ","
N/A IBU ",(3.72),"
244 Ratings  ","
Added 06/08/19 "
Armored Cow Brewing Co.,Fun51weizen,Hefeweizen,"
5.2% ABV ","
N/A IBU ",(3.72),"
240 Ratings ","
Added 06/01/19 "
Armored Cow Brewing Co.,The 49er,Kölsch,"
4.8% ABV ","
N/A IBU ",(3.57),"
219 Ratings ","
Added 05/17/19 "
Armored Cow Brewing Co.,Cinnamon Girl,Blonde Ale,"
5.6% ABV ","
N/A IBU ",(3.72),"
237 Ratings ","
Added 11/07/19 "
Armored Cow Brewing Co.,U Put the Lime In the Coconut,Sour - Berliner Weisse,"
4.5% ABV ","
N/A IBU ",(3.83),"
206 Ratings ","
Added 01/31/20 "
Armored Cow Brewing Co.,Not Your Momma’s Kitchen,Blonde Ale,"
4.8% ABV ","
N/A IBU ",(3.63),"
202 Ratings ","
Added 05/17/19 "
Armored Cow Brewing Co.,Bliztkrieg Hop,IPA - Imperial / Double New England,"
9.1% ABV ","
N/A IBU ",(3.95),"
209 Ratings ","
Added 07/15/20 "
Armored Cow Brewing Co.,Five Jump Chump,Sour - Gose,"
5% ABV ","
N/A IBU ",(3.69),"
161 Ratings ","
Added 01/05/20 "
Armored Cow Brewing Co.,The Outlander,Spiced / Herbed Beer,"
6% ABV ","
N/A IBU ",(3.77),"
156 Ratings ","
Added 09/11/19 "
Armored Cow Brewing Co.,Are You Ready Kids?,Sour - Fruited,"
9% ABV ","
N/A IBU ",(3.84),"
143 Ratings ","
Added 10/22/20 "
Armored Cow Brewing Co.,The All American,Red Ale - American Amber / Red,"
5.4% ABV ","
21 IBU ",(3.48),"
139 Ratings ","
Added 06/01/19 "
Armored Cow Brewing Co.,Ludwig,Festbier,"
6% ABV ","
20 IBU ",(3.83),"
126 Ratings ","
Added 09/13/20 "
Armored Cow Brewing Co.,Bocks of Rain,Bock - Doppelbock,"
10% ABV ","
N/A IBU ",(4.03),"
130 Ratings ","
Added 05/14/20 "
Armored Cow Brewing Co.,Revelator,Bock - Doppelbock,"
9% ABV ","
N/A IBU ",(3.78),"
126 Ratings ","
Added 10/09/19 "
Armored Cow Brewing Co.,Steinhoist,Lager - Munich Dunkel,"
4.9% ABV ","
N/A IBU ",(3.75),"
126 Ratings ","
Added 09/11/19 "
Armored Cow Brewing Co.,Hot Donna,Red Ale - American Amber / Red,"
5.5% ABV ","
N/A IBU ",(3.7),"
120 Ratings ","
Added 09/14/20 "
Armored Cow Brewing Co.,Doctor Love,Sour - Fruited,"
7% ABV ","
N/A IBU ",(4.05),"
112 Ratings ","
Added 02/04/21 "
Armored Cow Brewing Co.,Day Dreaming,IPA - American,"
6.4% ABV ","
50 IBU ",(3.78),"
114 Ratings ","
Added 04/11/20 "
Armored Cow Brewing Co.,Bring Back Jack,Gluten-Free,"
4.3% ABV ","
N/A IBU ",(3.71),"
101 Ratings ","
Added 09/11/19 "
Armored Cow Brewing Co.,The Yada Yada,Pale Ale - New England,"
5.5% ABV ","
N/A IBU ",(3.75),"
100 Ratings ","
Added 11/03/20 "
Armored Cow Brewing Co.,Court Shoes Only,IPA - Imperial / Double,"
9.2% ABV ","
N/A IBU ",(3.96),"
90 Ratings ","
Added 02/05/21 "
Armored Cow Brewing Co.,Fallback Crutch,IPA - American,"
7.2% ABV ","
N/A IBU ",(3.81),"
90 Ratings ","
Added 11/12/20 "
Armored Cow Brewing Co.,Not Your Momma's Kitchen (Gluten Free),Gluten-Free,"
4.3% ABV ","
45 IBU ",(3.51),"
78 Ratings ","
Added 05/17/19 "
Armored Cow Brewing Co.,First One of the Day,Pilsner - German,"
5% ABV ","
N/A IBU ",(3.75),"
76 Ratings ","
Added 05/08/20 "
Armored Cow Brewing Co.,Miss Rosie,Gluten-Free,"
4.3% ABV ","
N/A IBU ",(3.53),"
58 Ratings ","
Added 09/11/19 "
Armored Cow Brewing Co.,A Whole Lotta Rosie,Gluten-Free,"
4.8% ABV ","
N/A IBU ",(4),"
50 Ratings ","
Added 03/15/20 "
Armored Cow Brewing Co.,Made In the Shade,Lager - American Light,"
4.5% ABV ","
N/A IBU ",(3.62),"
50 Ratings ","
Added 07/26/19 "
Armored Cow Brewing Co.,Made In the Lime Shade,Lager - American Light,"
5.1% ABV ","
N/A IBU ",(3.76),"
36 Ratings ","
Added 11/19/19 "
Armored Cow Brewing Co.,The GF Outlander,Gluten-Free,"
6% ABV ","
10 IBU ",(3.84),"
32 Ratings ","
Added 09/24/20 "
Armored Cow Brewing Co.,Sun Spun Lager,Lager - American Light,"
4.8% ABV ","
6 IBU ",(3.77),"
34 Ratings ","
Added 02/13/21 "
Armored Cow Brewing Co.,GF Cinnamon Girl,Blonde Ale,"
4.8% ABV ","
N/A IBU ",(3.85),"
32 Ratings ","
Added 12/18/20 "
Armored Cow Brewing Co.,Black Is Beautiful,Stout - Other,"
8.5% ABV ","
N/A IBU ",(3.76),"
27 Ratings ","
Added 09/02/20 "
Armored Cow Brewing Co.,Reveille Stout Nitro,Stout - Oatmeal,"
5.6% ABV ","
N/A IBU ",(N/A),"
4 Ratings ","
Added 06/09/20 "
Armored Cow Brewing Co.,Belgian Triple,Gluten-Free,"
8% ABV ","
40 IBU ",(N/A),"
1 Rating ","
Added 02/17/19 "
Birdsong Brewing Co.,Jalapeño Pale Ale,Spiced / Herbed Beer,"
5.5% ABV ","
45 IBU ",(3.67),"
22,685 Ratings ","
Added 12/17/11 "
Birdsong Brewing Co.,Higher Ground IPA,IPA - American,"
7% ABV ","
65 IBU ",(3.74),"
18,705 Ratings ","
Added 02/09/12 "
Birdsong Brewing Co.,Lazy Bird Brown Ale,Brown Ale - American,"
5.5% ABV ","
45 IBU ",(3.63),"
10,883 Ratings ","
Added 01/12/12 "
Birdsong Brewing Co.,Mexicali Stout,Stout - Other,"
5.8% ABV ","
35 IBU ",(3.83),"
9,374 Ratings ","
Added 11/15/12 "
Birdsong Brewing Co.,Paradise City Session IPA,IPA - Session / India Session Ale,"
4.8% ABV ","
45 IBU ",(3.63),"
7,005 Ratings ","
Added 01/27/17 "
Birdsong Brewing Co.,Honey Pie Double IPA,IPA - Imperial / Double,"
8.9% ABV ","
80 IBU ",(3.92),"
5,664 Ratings ","
Added 03/01/13 "
Birdsong Brewing Co.,Fake Plastic Trees Hazy IPA,IPA - New England,"
6.4% ABV ","
40 IBU ",(3.68),"
6,911 Ratings ","
Added 05/30/13 "
